	ADVI	ADVN	ADVP	ADVS	BEGIN	CFQC	CLTV	CMTR	CNIT	CVBL	DCNM	DDAC	DDAN	DDAQ	DDBQ	DIAC	DIAQ	DIBQ	DONM	EAFF	EITT	END	FIXN	FIXV	JCMP	JCRG	JSBR	NCMN	NCNM	NEG	NLBL	NONM	NPRP	NTTL	PDMN	PNTR	PPRS	PREL	PUNC	RPRE	VACT	VATT	VSTA	XVAE	XVAM	XVBB	XVBM	XVMM
ADVI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	88	1	0	0	0	0	0	0	0	0
ADVN	1	148	5	4	0	3	3	0	8	0	3	15	11	0	18	8	0	39	0	1	3	2172	8	37	143	67	150	99	0	8	0	0	2	0	3	3	5	24	583	450	64	33	123	161	7	0	44	2
ADVP	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	112	1	0	0	10	3	2	0	1	0	0	0	0	1	0	0	2	11	35	1	0	6	3	0	0	2	1
ADVS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	39	5	0	0	1	18	32	0	1	0	0	2	0	1	0	4	3	55	13	12	1	20	7	19	0	34	0
BEGIN	0	11	6	110	0	0	20	4	11	0	56	1	4	0	23	1	0	48	9	0	1	0	968	39	1	2208	5761	5794	68	31	2954	1	544	269	30	2	93	67	774	1321	655	9	499	9	168	0	506	49
CFQC	0	1	0	0	0	0	0	0	0	0	1	38	1	0	0	2	0	0	53	0	0	51	2	0	0	0	4	4	0	0	0	0	0	0	0	0	0	9	29	38	1	0	0	1	0	0	1	0
CLTV	0	9	0	0	0	0	0	0	0	0	20	58	3	2	0	37	0	3	18	0	0	137	4	0	0	7	8	77	0	1	0	0	1	0	0	0	0	29	176	29	15	23	37	10	1	0	8	0
CMTR	0	3	0	0	0	0	0	0	0	0	1	2	1	1	0	1	1	0	3	0	0	734	1	2	0	5	2	7	0	1	0	0	1	0	0	0	0	8	664	65	5	6	3	7	3	0	1	0
CNIT	0	24	0	0	0	0	0	1	0	0	79	94	7	1	1	38	0	4	66	0	0	592	6	3	1	27	28	64	0	6	0	0	1	0	1	0	5	75	436	109	48	48	88	30	27	0	49	13
CVBL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
DCNM	0	2	0	0	0	3	21	47	87	1	3	7	0	0	0	0	0	3	0	1	0	156	0	1	1	6	16	52	0	0	5	0	0	0	0	0	0	49	3504	69	12	0	36	9	0	0	8	1
DDAC	0	8	1	1	0	0	1	0	0	0	1	15	10	3	1	0	0	2	0	0	1	397	8	10	2	8	85	40	0	40	0	0	0	0	11	1	11	12	793	85	186	5	414	95	134	0	428	51
DDAN	0	2	0	0	0	0	1	0	1	0	0	13	5	0	1	0	0	3	0	0	0	177	1	1	1	1	15	4	0	7	0	0	0	0	1	1	1	24	244	40	42	1	58	19	26	0	57	3
